Time,LL Transfer Speed,TR1 Transfer Speed,TR2 Transfer Speed,TR3 Transfer Speed,UL Transfer Speed,TR2 Tray In Detect Sensor,TR2 Tray Out Detect Sensor,
2023-05-18 13:02:52,0,0,0,0,0,0,0,
2023-05-18 13:02:53,0,0,0,0,0,0,0,
2023-05-18 13:02:54,0,0,0,0,0,0,0,
2023-05-18 13:02:55,0,0,0,0,0,0,0,
2023-05-18 13:02:56,0,0,0,0,0,0,0,
2023-05-18 13:02:57,0,0,0,0,0,0,0,
2023-05-18 13:02:58,0,0,0,0,0,0,0,
2023-05-18 13:02:59,0,0,0,0,0,0,0,
2023-05-18 13:03:00,0,0,0,0,0,0,0,
2023-05-18 13:03:01,0,0,0,0,0,0,0,
2023-05-18 13:03:02,0,0,0,0,0,0,0,
2023-05-18 13:03:03,0,0,0,0,0,0,0,
2023-05-18 13:03:04,0,0,0,0,0,0,0,
2023-05-18 13:03:05,0,0,0,0,0,0,0,
2023-05-18 13:03:06,0,0,0,0,0,0,0,
2023-05-18 13:03:07,0,0,0,0,0,0,0,
2023-05-18 13:03:08,0,0,0,0,0,0,0,
2023-05-18 13:03:09,0,0,0,0,0,0,0,
2023-05-18 13:03:10,0,0,0,0,0,0,0,
2023-05-18 13:03:11,0,0,0,0,0,0,0,
2023-05-18 13:03:12,0,0,0,0,0,0,0,
2023-05-18 13:03:13,0,0,0,0,0,0,0,
2023-05-18 13:03:14,0,0,0,0,0,0,0,
2023-05-18 13:03:15,0,0,0,0,0,0,0,
2023-05-18 13:03:16,0,0,0,0,0,0,0,
2023-05-18 13:03:17,0,0,0,0,0,0,0,
2023-05-18 13:03:19,0,0,0,0,0,0,0,
2023-05-18 13:03:20,0,0,0,0,0,0,0,
2023-05-18 13:03:26,0,0,0,0,0,0,0,
2023-05-18 13:03:28,0,0,0,0,0,0,0,
2023-05-18 13:03:30,0,0,0,0,0,0,0,
