Time,LL Transfer Speed,TR1 Transfer Speed,TR2 Transfer Speed,TR3 Transfer Speed,UL Transfer Speed,TR2 Tray In Detect Sensor,TR2 Tray Out Detect Sensor,
2023-05-18 10:14:51,0,0,0,0,0,0,0,
2023-05-18 10:14:52,0,0,0,0,0,0,0,
2023-05-18 10:14:53,0,0,0,0,0,0,0,
2023-05-18 10:14:56,0,0,0,0,0,0,0,
2023-05-18 10:14:58,0,0,0,0,0,0,0,
2023-05-18 10:15:00,0,0,0,0,0,0,0,
2023-05-18 10:15:30,0,0,0,0,0,0,0,
2023-05-18 10:15:31,0,0,0,0,0,0,0,
2023-05-18 10:15:32,0,0,0,0,0,0,0,
2023-05-18 10:15:33,0,0,0,0,0,0,0,
2023-05-18 10:15:34,0,0,0,0,0,0,0,
2023-05-18 10:15:35,0,0,0,0,0,0,0,
2023-05-18 10:15:36,0,0,0,0,0,0,0,
2023-05-18 10:15:37,0,0,0,0,0,0,0,
2023-05-18 10:15:38,0,0,0,0,0,0,0,
2023-05-18 10:15:39,0,0,0,0,0,0,0,
2023-05-18 10:15:40,0,0,0,0,0,0,0,
2023-05-18 10:15:41,0,0,0,0,0,0,0,
2023-05-18 10:15:42,0,0,0,0,0,0,0,
2023-05-18 10:15:43,0,0,0,0,0,0,0,
2023-05-18 10:15:44,0,0,0,0,0,0,0,
2023-05-18 10:15:45,0,0,0,0,0,0,0,
2023-05-18 10:15:46,0,0,0,0,0,0,0,
2023-05-18 10:15:47,0,0,0,0,0,0,0,
2023-05-18 10:15:48,0,0,0,0,0,0,0,
2023-05-18 10:15:49,0,0,0,0,0,0,0,
2023-05-18 10:15:50,0,0,0,0,0,0,0,
2023-05-18 10:15:51,0,0,0,0,0,0,0,
2023-05-18 10:15:52,0,0,0,0,0,0,0,
2023-05-18 10:15:53,0,0,0,0,0,0,0,
2023-05-18 10:15:54,0,0,0,0,0,0,0,
2023-05-18 10:15:55,0,0,0,0,0,0,0,
2023-05-18 10:15:56,0,0,0,0,0,0,0,
2023-05-18 10:15:57,0,0,0,0,0,0,0,
2023-05-18 10:15:58,0,0,0,0,0,0,0,
2023-05-18 10:15:59,0,0,0,0,0,0,0,
2023-05-18 10:16:00,0,0,0,0,0,0,0,
2023-05-18 10:16:01,0,0,0,0,0,0,0,
2023-05-18 10:16:02,0,0,0,0,0,0,0,
2023-05-18 10:16:03,0,0,0,0,0,0,0,
2023-05-18 10:16:04,0,0,0,0,0,0,0,
2023-05-18 10:16:05,0,0,0,0,0,0,0,
2023-05-18 10:16:06,0,0,0,0,0,0,0,
2023-05-18 10:16:07,0,0,0,0,0,0,0,
2023-05-18 10:16:08,0,0,0,0,0,0,0,
2023-05-18 10:16:09,0,0,0,0,0,0,0,
2023-05-18 10:16:10,0,0,0,0,0,0,0,
2023-05-18 10:16:11,0,0,0,0,0,0,0,
2023-05-18 10:16:12,0,0,0,0,0,0,0,
2023-05-18 10:16:13,0,0,0,0,0,0,0,
2023-05-18 10:16:14,0,0,0,0,0,0,0,
2023-05-18 10:16:15,0,0,0,0,0,0,0,
2023-05-18 10:16:16,0,0,0,0,0,0,0,
2023-05-18 10:16:17,0,0,0,0,0,0,0,
2023-05-18 10:16:18,0,0,0,0,0,0,0,
2023-05-18 10:16:19,0,0,0,0,0,0,0,
2023-05-18 10:16:20,0,0,0,0,0,0,0,
2023-05-18 10:16:21,0,0,0,0,0,0,0,
2023-05-18 10:16:22,0,0,0,0,0,0,0,
2023-05-18 10:16:23,0,0,0,0,0,0,0,
2023-05-18 10:16:24,0,0,0,0,0,0,0,
2023-05-18 10:16:25,0,0,0,0,0,0,0,
2023-05-18 10:16:26,0,0,0,0,0,0,0,
2023-05-18 10:16:27,0,0,0,0,0,0,0,
2023-05-18 10:16:28,0,0,0,0,0,0,0,
2023-05-18 10:16:30,0,0,0,0,0,0,0,
2023-05-18 10:16:31,0,0,0,0,0,0,0,
2023-05-18 10:16:32,0,0,0,0,0,0,0,
2023-05-18 10:16:33,0,0,0,0,0,0,0,
2023-05-18 10:16:34,0,0,0,0,0,0,0,
2023-05-18 10:16:35,0,0,0,0,0,0,0,
2023-05-18 10:16:36,0,0,0,0,0,0,0,
2023-05-18 10:16:37,0,0,0,0,0,0,0,
2023-05-18 10:16:38,0,0,0,0,0,0,0,
2023-05-18 10:16:39,0,0,0,0,0,0,0,
2023-05-18 10:16:40,0,0,0,0,0,0,0,
2023-05-18 10:16:41,0,0,0,0,0,0,0,
2023-05-18 10:16:42,0,0,0,0,0,0,0,
2023-05-18 10:16:43,0,0,0,0,0,0,0,
2023-05-18 10:16:44,0,0,0,0,0,0,0,
2023-05-18 10:16:45,0,0,0,0,0,0,0,
2023-05-18 10:16:46,0,0,0,0,0,0,0,
2023-05-18 10:16:47,0,0,0,0,0,0,0,
2023-05-18 10:16:48,0,0,0,0,0,0,0,
2023-05-18 10:16:49,0,0,0,0,0,0,0,
2023-05-18 10:16:50,0,0,0,0,0,0,0,
2023-05-18 10:16:51,0,0,0,0,0,0,0,
2023-05-18 10:16:52,0,0,0,0,0,0,0,
2023-05-18 10:16:53,0,0,0,0,0,0,0,
2023-05-18 10:16:54,0,0,0,0,0,0,0,
2023-05-18 10:16:55,0,0,0,0,0,0,0,
2023-05-18 10:16:56,0,0,0,0,0,0,0,
2023-05-18 10:16:57,0,0,0,0,0,0,0,
2023-05-18 10:16:58,0,0,0,0,0,0,0,
2023-05-18 10:16:59,0,0,0,0,0,0,0,
2023-05-18 10:17:00,0,0,0,0,0,0,0,
2023-05-18 10:17:01,0,0,0,0,0,0,0,
2023-05-18 10:17:02,0,0,0,0,0,0,0,
2023-05-18 10:17:03,0,0,0,0,0,0,0,
2023-05-18 10:17:04,0,0,0,0,0,0,0,
2023-05-18 10:17:05,0,0,0,0,0,0,0,
2023-05-18 10:17:06,0,0,0,0,0,0,0,
2023-05-18 10:17:07,0,0,0,0,0,0,0,
2023-05-18 10:17:08,0,0,0,0,0,0,0,
2023-05-18 10:17:09,0,0,0,0,0,0,0,
2023-05-18 10:17:10,0,0,0,0,0,0,0,
2023-05-18 10:17:11,0,0,0,0,0,0,0,
2023-05-18 10:17:12,0,0,0,0,0,0,0,
2023-05-18 10:17:13,0,0,0,0,0,0,0,
2023-05-18 10:17:14,0,0,0,0,0,0,0,
2023-05-18 10:17:15,0,0,0,0,0,0,0,
2023-05-18 10:17:16,0,0,0,0,0,0,0,
2023-05-18 10:17:17,0,0,0,0,0,0,0,
2023-05-18 10:17:18,0,0,0,0,0,0,0,
2023-05-18 10:17:19,0,0,0,0,0,0,0,
2023-05-18 10:17:20,0,0,0,0,0,0,0,
2023-05-18 10:17:21,0,0,0,0,0,0,0,
2023-05-18 10:17:22,0,0,0,0,0,0,0,
2023-05-18 10:17:23,0,0,0,0,0,0,0,
2023-05-18 10:17:24,0,0,0,0,0,0,0,
2023-05-18 10:17:25,0,0,0,0,0,0,0,
2023-05-18 10:17:26,0,0,0,0,0,0,0,
2023-05-18 10:17:27,0,0,0,0,0,0,0,
2023-05-18 10:17:28,0,0,0,0,0,0,0,
2023-05-18 10:17:29,0,0,0,0,0,0,0,
2023-05-18 10:17:30,0,0,0,0,0,0,0,
2023-05-18 10:17:31,0,0,0,0,0,0,0,
2023-05-18 10:17:32,0,0,0,0,0,0,0,
2023-05-18 10:17:33,0,0,0,0,0,0,0,
2023-05-18 10:17:34,0,0,0,0,0,0,0,
2023-05-18 10:17:35,0,0,0,0,0,0,0,
2023-05-18 10:17:36,0,0,0,0,0,0,0,
2023-05-18 10:17:37,0,0,0,0,0,0,0,
2023-05-18 10:17:38,0,0,0,0,0,0,0,
2023-05-18 10:40:23,0,0,0,0,0,0,0,
2023-05-18 10:40:24,0,0,0,0,0,0,0,
2023-05-18 10:40:25,0,0,0,0,0,0,0,
2023-05-18 10:40:26,0,0,0,0,0,0,0,
2023-05-18 10:40:27,0,0,0,0,0,0,0,
2023-05-18 10:40:28,0,0,0,0,0,0,0,
2023-05-18 10:40:29,0,0,0,0,0,0,0,
2023-05-18 10:40:30,0,0,0,0,0,0,0,
2023-05-18 10:40:31,0,0,0,0,0,0,0,
2023-05-18 10:40:32,0,0,0,0,0,0,0,
2023-05-18 10:40:33,0,0,0,0,0,0,0,
2023-05-18 10:40:34,0,0,0,0,0,0,0,
2023-05-18 10:40:35,0,0,0,0,0,0,0,
2023-05-18 10:40:36,0,0,0,0,0,0,0,
2023-05-18 10:40:37,0,0,0,0,0,0,0,
2023-05-18 10:40:38,0,0,0,0,0,0,0,
2023-05-18 10:40:39,0,0,0,0,0,0,0,
2023-05-18 10:40:40,0,0,0,0,0,0,0,
2023-05-18 10:40:41,0,0,0,0,0,0,0,
2023-05-18 10:40:42,0,0,0,0,0,0,0,
2023-05-18 10:40:43,0,0,0,0,0,0,0,
2023-05-18 10:42:35,0,0,0,0,0,0,0,
2023-05-18 10:42:36,0,0,0,0,0,0,0,
2023-05-18 10:42:37,0,0,0,0,0,0,0,
2023-05-18 10:42:38,0,0,0,0,0,0,0,
2023-05-18 10:42:39,0,0,0,0,0,0,0,
2023-05-18 10:42:40,0,0,0,0,0,0,0,
2023-05-18 10:42:41,0,0,0,0,0,0,0,
2023-05-18 10:42:42,0,0,0,0,0,0,0,
2023-05-18 10:42:43,0,0,0,0,0,0,0,
2023-05-18 10:42:44,0,0,0,0,0,0,0,
2023-05-18 10:42:45,0,0,0,0,0,0,0,
2023-05-18 10:42:46,0,0,0,0,0,0,0,
2023-05-18 10:42:47,0,0,0,0,0,0,0,
2023-05-18 10:42:48,0,0,0,0,0,0,0,
2023-05-18 10:42:49,0,0,0,0,0,0,0,
2023-05-18 10:42:50,0,0,0,0,0,0,0,
2023-05-18 10:42:51,0,0,0,0,0,0,0,
2023-05-18 10:42:52,0,0,0,0,0,0,0,
2023-05-18 10:42:53,0,0,0,0,0,0,0,
2023-05-18 10:42:54,0,0,0,0,0,0,0,
2023-05-18 10:42:55,0,0,0,0,0,0,0,
2023-05-18 10:42:56,0,0,0,0,0,0,0,
2023-05-18 10:42:57,0,0,0,0,0,0,0,
2023-05-18 10:42:58,0,0,0,0,0,0,0,
2023-05-18 10:42:59,0,0,0,0,0,0,0,
2023-05-18 10:43:00,0,0,0,0,0,0,0,
2023-05-18 10:43:01,0,0,0,0,0,0,0,
2023-05-18 10:43:02,0,0,0,0,0,0,0,
2023-05-18 10:43:03,0,0,0,0,0,0,0,
2023-05-18 10:43:04,0,0,0,0,0,0,0,
2023-05-18 10:43:05,0,0,0,0,0,0,0,
2023-05-18 10:43:06,0,0,0,0,0,0,0,
2023-05-18 10:43:07,0,0,0,0,0,0,0,
2023-05-18 10:43:08,0,0,0,0,0,0,0,
2023-05-18 10:43:09,0,0,0,0,0,0,0,
2023-05-18 10:43:10,0,0,0,0,0,0,0,
2023-05-18 10:43:11,0,0,0,0,0,0,0,
2023-05-18 10:43:12,0,0,0,0,0,0,0,
2023-05-18 10:43:13,0,0,0,0,0,0,0,
2023-05-18 10:43:14,0,0,0,0,0,0,0,
2023-05-18 10:43:15,0,0,0,0,0,0,0,
