Time,LL Pressure,LL Between TP And Ev-1 Pressure,LL Between exhaust DP And EV Pressure,TR(C) Pressure,TR(C) No-Offset Pressure,TR(PH) Pressure,TR Between TP And EV-3 Pressure,UL Pressure,UL Between TP And EV-2 Pressure,SHI TSS Pressure,SHI Between TP And EV-4 Pressure,SHI Between DP And RV-4 Pressure,
2023-08-30 10:19:18,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:19,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:20,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:21,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:22,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:23,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:24,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:25,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:26,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:27,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:28,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:29,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:30,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:31,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:32,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:33,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:34,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:35,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:36,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:38,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:39,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:40,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:41,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:42,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:43,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:44,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:45,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:46,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:47,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:48,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:49,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:50,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:51,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:52,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:53,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:54,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:55,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:56,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:57,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:58,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:19:59,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:20:00,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:20:01,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:20:02,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:20:03,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:20:04,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:20:05,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:20:06,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:20:07,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:20:08,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:20:09,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:20:10,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:20:11,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:20:12,0,0,0,0,0,0,0,0,0,0,0,0,
2023-08-30 10:20:13,0,0,0,0,0,0,0,0,0,0,0,0,
