Time,LL Dry Pump PCW Flow,LL Turbo Pump PCW Flow,Backing Dry Pump PCW Flow,PCC Door Inwall PCW Flow,RPD G1 Electrode PCW Flow,RPD G2 Electrode PCW Flow,RPD Streering Coil PCW Flow,RPD Main Hearth PCW Flow,RPD Beam Guide PCW Flow,PCC Chamber Inwall PCW Flow,PCC Turbo Pump PCW Flow,TR1 Cooling Plate PCW Flow,TR2 Chamber PCW Flow,TR3 Chamber PCW Flow,UL Turbo Pump PCW Flow,UL Dry Pump PCW Flow,PCW Temperature,
2023-06-01 09:58:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:58:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:58:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:58:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:58:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:58:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:58:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:58:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:58:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:58:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-01 09:59:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
