Time,R-Gun Set Current of Hearth-Coil,R-Gun Current of Hearth-Coil,R-Gun Set Current of Streering-Coil,R-Gun Current of Streering-Coil,R-Gun Set Current of G2-Coil,R-Gun Current of G2-Coil,R-Gun Current of Main Hearth,R-Gun Current of Beam Guide,R-Gun Voltage of Main Hearth,R-Gun Voltage of Beam Guide,R-Gun Discharge Voltage,R-Gun MH Push Up Level,
2023-05-30 14:00:01,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 14:00:02,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 14:00:03,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 14:00:04,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 14:00:05,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 14:00:09,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 14:00:12,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 14:00:13,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 14:00:16,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 14:00:18,0,0,0,0,0,0,0,0,0,0,0,0,
