Time,R-Gun Set Current of Hearth-Coil,R-Gun Current of Hearth-Coil,R-Gun Set Current of Streering-Coil,R-Gun Current of Streering-Coil,R-Gun Set Current of G2-Coil,R-Gun Current of G2-Coil,R-Gun Current of Main Hearth,R-Gun Current of Beam Guide,R-Gun Voltage of Main Hearth,R-Gun Voltage of Beam Guide,R-Gun Discharge Voltage,R-Gun MH Push Up Level,
2023-05-30 15:05:40,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:05:41,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:05:42,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:05:43,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:05:44,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:05:48,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:05:49,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:05:52,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:05:53,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:05:54,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:05:56,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:05:57,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:05:58,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:00,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:01,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:02,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:03,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:06,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:09,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:10,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:11,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:12,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:13,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:14,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:15,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:16,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:17,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:18,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:19,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:20,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:21,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:25,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:30,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:32,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:34,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:37,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:38,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:40,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:41,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:42,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:43,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:44,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:47,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:48,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:51,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:52,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:53,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:56,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:06:58,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:07:00,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:07:02,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:07:05,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:07:07,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:07:13,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:07:15,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:07:17,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:07:25,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:07:28,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:08:36,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:08:37,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:08:40,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:08:41,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:08:42,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:08:43,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:08:44,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:08:47,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:08:48,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:08:49,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:08:50,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:08:51,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:08:52,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:08:53,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:08:54,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:08:55,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:08:56,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:08:57,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:08:58,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-30 15:08:59,0,0,0,0,0,0,0,0,0,0,0,0,
