Time,LL Dry Pump PCW Flow,LL Turbo Pump PCW Flow,Backing Dry Pump PCW Flow,PCC Door Inwall PCW Flow,RPD G1 Electrode PCW Flow,RPD G2 Electrode PCW Flow,RPD Streering Coil PCW Flow,RPD Main Hearth PCW Flow,RPD Beam Guide PCW Flow,PCC Chamber Inwall PCW Flow,PCC Turbo Pump PCW Flow,TR1 Cooling Plate PCW Flow,TR2 Chamber PCW Flow,TR3 Chamber PCW Flow,UL Turbo Pump PCW Flow,UL Dry Pump PCW Flow,PCW Temperature,
2023-05-31 17:57:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:57:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:57:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:57:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:57:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:57:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:57:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:57:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:57:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:57:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:57:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:57:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:57:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:57:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:57:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:57:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:57:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:58:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:59:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:59:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:59:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:59:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:59:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:59:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 17:59:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
