Time,LL Dry Pump PCW Flow,LL Turbo Pump PCW Flow,Backing Dry Pump PCW Flow,PCC Door Inwall PCW Flow,RPD G1 Electrode PCW Flow,RPD G2 Electrode PCW Flow,RPD Streering Coil PCW Flow,RPD Main Hearth PCW Flow,RPD Beam Guide PCW Flow,PCC Chamber Inwall PCW Flow,PCC Turbo Pump PCW Flow,TR1 Cooling Plate PCW Flow,TR2 Chamber PCW Flow,TR3 Chamber PCW Flow,UL Turbo Pump PCW Flow,UL Dry Pump PCW Flow,PCW Temperature,
2023-05-19 18:04:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:04:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:05:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:05:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:05:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:05:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:06:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:06:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:07:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:07:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:08:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:08:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:08:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:08:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:09:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:09:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:09:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
