Time,LL Dry Pump PCW Flow,LL Turbo Pump PCW Flow,Backing Dry Pump PCW Flow,PCC Door Inwall PCW Flow,RPD G1 Electrode PCW Flow,RPD G2 Electrode PCW Flow,RPD Streering Coil PCW Flow,RPD Main Hearth PCW Flow,RPD Beam Guide PCW Flow,PCC Chamber Inwall PCW Flow,PCC Turbo Pump PCW Flow,TR1 Cooling Plate PCW Flow,TR2 Chamber PCW Flow,TR3 Chamber PCW Flow,UL Turbo Pump PCW Flow,UL Dry Pump PCW Flow,PCW Temperature,
2023-05-19 17:05:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:05:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:06:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:06:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:06:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:06:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:07:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:07:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:07:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:08:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:08:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:08:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:08:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:09:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:09:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:09:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:09:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:10:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:10:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:11:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:11:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:11:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:12:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
