Time,LL Transfer Speed,TR1 Transfer Speed,TR2 Transfer Speed,TR3 Transfer Speed,UL Transfer Speed,TR2 Tray In Detect Sensor,TR2 Tray Out Detect Sensor,
2023-05-26 14:22:18,0,0,0,0,0,0,0,
2023-05-26 14:22:19,0,0,0,0,0,0,0,
2023-05-26 14:22:20,0,0,0,0,0,0,0,
2023-05-26 14:22:21,0,0,0,0,0,0,0,
2023-05-26 14:22:22,0,0,0,0,0,0,0,
2023-05-26 14:22:23,0,0,0,0,0,0,0,
2023-05-26 14:22:29,0,0,0,0,0,0,0,
2023-05-26 14:22:32,0,0,0,0,0,0,0,
2023-05-26 14:22:35,0,0,0,0,0,0,0,
2023-05-26 14:22:37,0,0,0,0,0,0,0,
2023-05-26 14:22:38,0,0,0,0,0,0,0,
2023-05-26 14:22:40,0,0,0,0,0,0,0,
2023-05-26 14:22:42,0,0,0,0,0,0,0,
2023-05-26 14:22:43,0,0,0,0,0,0,0,
2023-05-26 14:22:44,0,0,0,0,0,0,0,
2023-05-26 14:22:46,0,0,0,0,0,0,0,
2023-05-26 14:22:50,0,0,0,0,0,0,0,
2023-05-26 14:22:52,0,0,0,0,0,0,0,
2023-05-26 14:22:54,0,0,0,0,0,0,0,
2023-05-26 14:22:59,0,0,0,0,0,0,0,
2023-05-26 14:23:02,0,0,0,0,0,0,0,
2023-05-26 14:23:03,0,0,0,0,0,0,0,
2023-05-26 14:23:04,0,0,0,0,0,0,0,
2023-05-26 14:23:07,0,0,0,0,0,0,0,
2023-05-26 14:23:08,0,0,0,0,0,0,0,
2023-05-26 14:23:09,0,0,0,0,0,0,0,
2023-05-26 14:23:11,0,0,0,0,0,0,0,
2023-05-26 14:23:13,0,0,0,0,0,0,0,
2023-05-26 14:23:14,0,0,0,0,0,0,0,
2023-05-26 14:23:15,0,0,0,0,0,0,0,
2023-05-26 14:23:19,0,0,0,0,0,0,0,
2023-05-26 14:23:32,0,0,0,0,0,0,0,
2023-05-26 14:23:34,0,0,0,0,0,0,0,
2023-05-26 14:23:35,0,0,0,0,0,0,0,
2023-05-26 14:23:47,0,0,0,0,0,0,0,
2023-05-26 14:23:53,0,0,0,0,0,0,0,
2023-05-26 14:23:59,0,0,0,0,0,0,0,
2023-05-26 14:24:00,0,0,0,0,0,0,0,
2023-05-26 14:24:01,0,0,0,0,0,0,0,
2023-05-26 14:24:04,0,0,0,0,0,0,0,
2023-05-26 14:24:05,0,0,0,0,0,0,0,
2023-05-26 14:24:07,0,0,0,0,0,0,0,
2023-05-26 14:24:08,0,0,0,0,0,0,0,
2023-05-26 14:24:09,0,0,0,0,0,0,0,
2023-05-26 14:24:10,0,0,0,0,0,0,0,
2023-05-26 14:24:12,0,0,0,0,0,0,0,
2023-05-26 14:24:13,0,0,0,0,0,0,0,
2023-05-26 14:24:14,0,0,0,0,0,0,0,
2023-05-26 14:24:15,0,0,0,0,0,0,0,
2023-05-26 14:24:17,0,0,0,0,0,0,0,
2023-05-26 14:24:20,0,0,0,0,0,0,0,
2023-05-26 14:24:21,0,0,0,0,0,0,0,
2023-05-26 14:24:22,0,0,0,0,0,0,0,
2023-05-26 14:24:23,0,0,0,0,0,0,0,
2023-05-26 14:24:24,0,0,0,0,0,0,0,
2023-05-26 14:24:25,0,0,0,0,0,0,0,
2023-05-26 14:24:26,0,0,0,0,0,0,0,
2023-05-26 14:24:28,0,0,0,0,0,0,0,
2023-05-26 14:24:29,0,0,0,0,0,0,0,
2023-05-26 14:24:31,0,0,0,0,0,0,0,
2023-05-26 14:24:38,0,0,0,0,0,0,0,
2023-05-26 14:24:41,0,0,0,0,0,0,0,
2023-05-26 14:24:45,0,0,0,0,0,0,0,
