Time,LL Pressure,LL Between TP And Ev-1 Pressure,LL Between exhaust DP And EV Pressure,TR(C) Pressure,TR(C) No-Offset Pressure,TR(PH) Pressure,TR Between TP And EV-3 Pressure,UL Pressure,UL Between TP And EV-2 Pressure,SHI TSS Pressure,SHI Between TP And EV-4 Pressure,SHI Between DP And RV-4 Pressure,
2023-05-25 16:34:18,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:19,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:20,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:23,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:24,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:25,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:28,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:32,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:35,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:38,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:40,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:42,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:43,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:45,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:46,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:48,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:50,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:51,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:52,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:53,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:54,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:55,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:57,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:34:59,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:35:00,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:35:01,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:35:03,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:35:05,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:35:06,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:35:07,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:35:09,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:35:10,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-25 16:35:11,0,0,0,0,0,0,0,0,0,0,0,0,
