Time,LL Dry Pump PCW Flow,LL Turbo Pump PCW Flow,Backing Dry Pump PCW Flow,PCC Door Inwall PCW Flow,RPD G1 Electrode PCW Flow,RPD G2 Electrode PCW Flow,RPD Streering Coil PCW Flow,RPD Main Hearth PCW Flow,RPD Beam Guide PCW Flow,PCC Chamber Inwall PCW Flow,PCC Turbo Pump PCW Flow,TR1 Cooling Plate PCW Flow,TR2 Chamber PCW Flow,TR3 Chamber PCW Flow,UL Turbo Pump PCW Flow,UL Dry Pump PCW Flow,PCW Temperature,
2023-06-07 12:19:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 12:19:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 12:19:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 12:19:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 12:19:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 12:19:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 12:19:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 12:19:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 12:19:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 12:19:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
