Time,LL Dry Pump PCW Flow,LL Turbo Pump PCW Flow,Backing Dry Pump PCW Flow,PCC Door Inwall PCW Flow,RPD G1 Electrode PCW Flow,RPD G2 Electrode PCW Flow,RPD Streering Coil PCW Flow,RPD Main Hearth PCW Flow,RPD Beam Guide PCW Flow,PCC Chamber Inwall PCW Flow,PCC Turbo Pump PCW Flow,TR1 Cooling Plate PCW Flow,TR2 Chamber PCW Flow,TR3 Chamber PCW Flow,UL Turbo Pump PCW Flow,UL Dry Pump PCW Flow,PCW Temperature,
2023-06-07 16:00:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 16:00:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 16:00:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 16:00:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 16:00:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 16:00:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 16:00:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 16:01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 16:01:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 16:01:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 16:01:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 16:01:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 16:01:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 16:01:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 16:01:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 16:01:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 16:01:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 16:01:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 16:01:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 16:01:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
