Time,LL Transfer Speed,TR1 Transfer Speed,TR2 Transfer Speed,TR3 Transfer Speed,UL Transfer Speed,TR2 Tray In Detect Sensor,TR2 Tray Out Detect Sensor,
2023-04-19 11:00:00,0,0,0,0,0,0,0,
2023-04-19 11:00:01,0,0,0,0,0,0,0,
2023-04-19 11:00:02,0,0,0,0,0,0,0,
2023-04-19 11:00:03,0,0,0,0,0,0,0,
2023-04-19 11:00:04,0,0,0,0,0,0,0,
2023-04-19 11:00:07,0,0,0,0,0,0,0,
2023-04-19 11:00:09,0,0,0,0,0,0,0,
2023-04-19 11:00:10,0,0,0,0,0,0,0,
2023-04-19 11:00:11,0,0,0,0,0,0,0,
2023-04-19 11:00:12,0,0,0,0,0,0,0,
2023-04-19 11:00:13,0,0,0,0,0,0,0,
2023-04-19 11:00:14,0,0,0,0,0,0,0,
2023-04-19 11:00:15,0,0,0,0,0,0,0,
2023-04-19 11:00:17,0,0,0,0,0,0,0,
2023-04-19 11:00:18,0,0,0,0,0,0,0,
2023-04-19 11:00:19,0,0,0,0,0,0,0,
2023-04-19 11:00:20,0,0,0,0,0,0,0,
2023-04-19 11:00:21,0,0,0,0,0,0,0,
2023-04-19 11:00:22,0,0,0,0,0,0,0,
2023-04-19 11:00:24,0,0,0,0,0,0,0,
2023-04-19 11:00:25,0,0,0,0,0,0,0,
2023-04-19 11:00:26,0,0,0,0,0,0,0,
2023-04-19 11:00:27,0,0,0,0,0,0,0,
2023-04-19 11:00:28,0,0,0,0,0,0,0,
2023-04-19 11:00:30,0,0,0,0,0,0,0,
2023-04-19 11:00:31,0,0,0,0,0,0,0,
2023-04-19 11:00:32,0,0,0,0,0,0,0,
2023-04-19 11:00:33,0,0,0,0,0,0,0,
2023-04-19 11:00:34,0,0,0,0,0,0,0,
2023-04-19 11:00:35,0,0,0,0,0,0,0,
2023-04-19 11:00:36,0,0,0,0,0,0,0,
2023-04-19 11:00:37,0,0,0,0,0,0,0,
2023-04-19 11:00:38,0,0,0,0,0,0,0,
