Time,LL Dry Pump PCW Flow,LL Turbo Pump PCW Flow,Backing Dry Pump PCW Flow,PCC Door Inwall PCW Flow,RPD G1 Electrode PCW Flow,RPD G2 Electrode PCW Flow,RPD Streering Coil PCW Flow,RPD Main Hearth PCW Flow,RPD Beam Guide PCW Flow,PCC Chamber Inwall PCW Flow,PCC Turbo Pump PCW Flow,TR1 Cooling Plate PCW Flow,TR2 Chamber PCW Flow,TR3 Chamber PCW Flow,UL Turbo Pump PCW Flow,UL Dry Pump PCW Flow,PCW Temperature,
2023-05-15 10:11:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-15 10:11:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
