Time,R-Gun Set Current of Hearth-Coil,R-Gun Current of Hearth-Coil,R-Gun Set Current of Streering-Coil,R-Gun Current of Streering-Coil,R-Gun Set Current of G2-Coil,R-Gun Current of G2-Coil,R-Gun Current of Main Hearth,R-Gun Current of Beam Guide,R-Gun Voltage of Main Hearth,R-Gun Voltage of Beam Guide,R-Gun Discharge Voltage,R-Gun MH Push Up Level,
2023-05-19 18:04:32,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:04:46,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:05:03,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:05:18,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:05:34,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:05:54,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:06:29,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:06:58,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:07:23,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:07:42,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:08:02,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:08:22,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:08:40,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:08:58,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:09:18,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:09:39,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 18:09:56,0,0,0,0,0,0,0,0,0,0,0,0,
