Time,R-Gun Set Current of Hearth-Coil,R-Gun Current of Hearth-Coil,R-Gun Set Current of Streering-Coil,R-Gun Current of Streering-Coil,R-Gun Set Current of G2-Coil,R-Gun Current of G2-Coil,R-Gun Current of Main Hearth,R-Gun Current of Beam Guide,R-Gun Voltage of Main Hearth,R-Gun Voltage of Beam Guide,R-Gun Discharge Voltage,R-Gun MH Push Up Level,
2023-05-19 09:46:10,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:11,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:12,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:13,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:14,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:15,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:16,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:17,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:18,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:19,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:20,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:21,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:22,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:23,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:24,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:25,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:26,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:27,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:28,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:29,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:30,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:31,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:32,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:33,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:34,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:35,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:36,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:37,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:38,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:39,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 09:46:40,0,0,0,0,0,0,0,0,0,0,0,0,
