Time,LL Dry Pump PCW Flow,LL Turbo Pump PCW Flow,Backing Dry Pump PCW Flow,PCC Door Inwall PCW Flow,RPD G1 Electrode PCW Flow,RPD G2 Electrode PCW Flow,RPD Streering Coil PCW Flow,RPD Main Hearth PCW Flow,RPD Beam Guide PCW Flow,PCC Chamber Inwall PCW Flow,PCC Turbo Pump PCW Flow,TR1 Cooling Plate PCW Flow,TR2 Chamber PCW Flow,TR3 Chamber PCW Flow,UL Turbo Pump PCW Flow,UL Dry Pump PCW Flow,PCW Temperature,
2023-06-02 17:00:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-02 17:00:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-02 17:00:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-02 17:00:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-02 17:00:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-02 17:00:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-02 17:00:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-02 17:00:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-02 17:00:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-02 17:00:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-02 17:00:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-02 17:00:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-02 17:00:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-02 17:00:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-02 17:00:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-02 17:00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-02 17:01:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-02 17:01:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-02 17:01:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-02 17:01:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
