Time,R-Gun Set Current of Hearth-Coil,R-Gun Current of Hearth-Coil,R-Gun Set Current of Streering-Coil,R-Gun Current of Streering-Coil,R-Gun Set Current of G2-Coil,R-Gun Current of G2-Coil,R-Gun Current of Main Hearth,R-Gun Current of Beam Guide,R-Gun Voltage of Main Hearth,R-Gun Voltage of Beam Guide,R-Gun Discharge Voltage,R-Gun MH Push Up Level,
2023-06-07 12:19:07,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 12:19:10,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 12:19:14,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 12:19:17,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 12:19:22,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 12:19:24,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 12:19:26,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 12:19:30,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 12:19:33,0,0,0,0,0,0,0,0,0,0,0,0,
2023-06-07 12:19:35,0,0,0,0,0,0,0,0,0,0,0,0,
