Time,LL Transfer Speed,TR1 Transfer Speed,TR2 Transfer Speed,TR3 Transfer Speed,UL Transfer Speed,TR2 Tray In Detect Sensor,TR2 Tray Out Detect Sensor,
2023-05-22 09:36:52,0,0,0,0,0,0,0,
2023-05-22 09:37:08,0,0,0,0,0,0,0,
2023-05-22 09:37:24,0,0,0,0,0,0,0,
2023-05-22 09:37:40,0,0,0,0,0,0,0,
2023-05-22 09:37:57,0,0,0,0,0,0,0,
2023-05-22 09:38:19,0,0,0,0,0,0,0,
2023-05-22 09:38:50,0,0,0,0,0,0,0,
2023-05-22 09:39:27,0,0,0,0,0,0,0,
2023-05-22 09:40:28,0,0,0,0,0,0,0,
2023-05-22 09:41:33,0,0,0,0,0,0,0,
