Time,LL Transfer Speed,TR1 Transfer Speed,TR2 Transfer Speed,TR3 Transfer Speed,UL Transfer Speed,TR2 Tray In Detect Sensor,TR2 Tray Out Detect Sensor,
2023-05-23 16:59:01,0,0,0,0,0,0,0,
2023-05-23 16:59:03,0,0,0,0,0,0,0,
2023-05-23 16:59:04,0,0,0,0,0,0,0,
2023-05-23 16:59:06,0,0,0,0,0,0,0,
2023-05-23 16:59:07,0,0,0,0,0,0,0,
2023-05-23 16:59:08,0,0,0,0,0,0,0,
2023-05-23 16:59:10,0,0,0,0,0,0,0,
2023-05-23 16:59:11,0,0,0,0,0,0,0,
2023-05-23 16:59:14,0,0,0,0,0,0,0,
2023-05-23 16:59:15,0,0,0,0,0,0,0,
2023-05-23 16:59:16,0,0,0,0,0,0,0,
2023-05-23 16:59:19,0,0,0,0,0,0,0,
2023-05-23 16:59:21,0,0,0,0,0,0,0,
2023-05-23 16:59:23,0,0,0,0,0,0,0,
2023-05-23 16:59:27,0,0,0,0,0,0,0,
2023-05-23 16:59:36,0,0,0,0,0,0,0,
2023-05-23 16:59:37,0,0,0,0,0,0,0,
2023-05-23 16:59:38,0,0,0,0,0,0,0,
2023-05-23 16:59:39,0,0,0,0,0,0,0,
2023-05-23 16:59:41,0,0,0,0,0,0,0,
2023-05-23 16:59:42,0,0,0,0,0,0,0,
2023-05-23 16:59:44,0,0,0,0,0,0,0,
2023-05-23 16:59:47,0,0,0,0,0,0,0,
2023-05-23 16:59:51,0,0,0,0,0,0,0,
2023-05-23 16:59:52,0,0,0,0,0,0,0,
2023-05-23 16:59:54,0,0,0,0,0,0,0,
2023-05-23 16:59:55,0,0,0,0,0,0,0,
2023-05-23 16:59:56,0,0,0,0,0,0,0,
2023-05-23 16:59:58,0,0,0,0,0,0,0,
2023-05-23 16:59:59,0,0,0,0,0,0,0,
