Time,LL Transfer Speed,TR1 Transfer Speed,TR2 Transfer Speed,TR3 Transfer Speed,UL Transfer Speed,TR2 Tray In Detect Sensor,TR2 Tray Out Detect Sensor,
2023-05-15 11:08:18,0,0,0,0,0,0,0,
2023-05-15 11:08:19,0,0,0,0,0,0,0,
2023-05-15 11:08:20,0,0,0,0,0,0,0,
2023-05-15 11:08:21,0,0,0,0,0,0,0,
2023-05-15 11:08:22,0,0,0,0,0,0,0,
2023-05-15 11:08:23,0,0,0,0,0,0,0,
2023-05-15 11:08:24,0,0,0,0,0,0,0,
2023-05-15 11:08:25,0,0,0,0,0,0,0,
2023-05-15 11:08:26,0,0,0,0,0,0,0,
2023-05-15 11:08:27,0,0,0,0,0,0,0,
2023-05-15 11:12:55,0,0,0,0,0,0,0,
2023-05-15 11:12:57,0,0,0,0,0,0,0,
2023-05-15 11:12:58,0,0,0,0,0,0,0,
2023-05-15 11:12:59,0,0,0,0,0,0,0,
2023-05-15 11:13:00,0,0,0,0,0,0,0,
2023-05-15 11:13:01,0,0,0,0,0,0,0,
2023-05-15 11:13:02,0,0,0,0,0,0,0,
2023-05-15 11:13:03,0,0,0,0,0,0,0,
2023-05-15 11:13:04,0,0,0,0,0,0,0,
2023-05-15 11:13:21,0,0,0,0,0,0,0,
2023-05-15 11:13:22,0,0,0,0,0,0,0,
2023-05-15 11:13:23,0,0,0,0,0,0,0,
2023-05-15 11:13:24,0,0,0,0,0,0,0,
2023-05-15 11:13:25,0,0,0,0,0,0,0,
2023-05-15 11:13:26,0,0,0,0,0,0,0,
2023-05-15 11:13:27,0,0,0,0,0,0,0,
2023-05-15 11:13:28,0,0,0,0,0,0,0,
2023-05-15 11:13:29,0,0,0,0,0,0,0,
2023-05-15 11:13:30,0,0,0,0,0,0,0,
2023-05-15 11:13:31,0,0,0,0,0,0,0,
2023-05-15 11:20:16,0,0,0,0,0,0,0,
2023-05-15 11:20:18,0,0,0,0,0,0,0,
2023-05-15 11:20:19,0,0,0,0,0,0,0,
2023-05-15 11:20:21,0,0,0,0,0,0,0,
2023-05-15 11:20:22,0,0,0,0,0,0,0,
2023-05-15 11:20:26,0,0,0,0,0,0,0,
2023-05-15 11:22:54,0,0,0,0,0,0,0,
2023-05-15 11:22:55,0,0,0,0,0,0,0,
2023-05-15 11:22:56,0,0,0,0,0,0,0,
2023-05-15 11:22:57,0,0,0,0,0,0,0,
2023-05-15 11:22:58,0,0,0,0,0,0,0,
2023-05-15 11:22:59,0,0,0,0,0,0,0,
2023-05-15 11:23:00,0,0,0,0,0,0,0,
2023-05-15 11:23:01,0,0,0,0,0,0,0,
2023-05-15 11:23:02,0,0,0,0,0,0,0,
2023-05-15 11:23:03,0,0,0,0,0,0,0,
2023-05-15 11:23:04,0,0,0,0,0,0,0,
2023-05-15 11:23:05,0,0,0,0,0,0,0,
2023-05-15 11:23:06,0,0,0,0,0,0,0,
2023-05-15 11:23:07,0,0,0,0,0,0,0,
2023-05-15 11:23:08,0,0,0,0,0,0,0,
2023-05-15 11:23:09,0,0,0,0,0,0,0,
2023-05-15 11:23:10,0,0,0,0,0,0,0,
2023-05-15 11:23:11,0,0,0,0,0,0,0,
2023-05-15 11:23:12,0,0,0,0,0,0,0,
2023-05-15 11:23:13,0,0,0,0,0,0,0,
2023-05-15 11:23:14,0,0,0,0,0,0,0,
2023-05-15 11:23:15,0,0,0,0,0,0,0,
2023-05-15 11:23:16,0,0,0,0,0,0,0,
2023-05-15 11:23:17,0,0,0,0,0,0,0,
2023-05-15 11:23:18,0,0,0,0,0,0,0,
2023-05-15 11:23:19,0,0,0,0,0,0,0,
2023-05-15 11:23:20,0,0,0,0,0,0,0,
2023-05-15 11:23:21,0,0,0,0,0,0,0,
2023-05-15 11:23:22,0,0,0,0,0,0,0,
2023-05-15 11:23:23,0,0,0,0,0,0,0,
2023-05-15 11:23:25,0,0,0,0,0,0,0,
2023-05-15 11:23:27,0,0,0,0,0,0,0,
2023-05-15 11:23:30,0,0,0,0,0,0,0,
2023-05-15 11:23:33,0,0,0,0,0,0,0,
2023-05-15 11:23:36,0,0,0,0,0,0,0,
2023-05-15 11:23:38,0,0,0,0,0,0,0,
2023-05-15 11:23:39,0,0,0,0,0,0,0,
2023-05-15 11:23:40,0,0,0,0,0,0,0,
2023-05-15 11:23:42,0,0,0,0,0,0,0,
2023-05-15 11:23:43,0,0,0,0,0,0,0,
2023-05-15 11:23:45,0,0,0,0,0,0,0,
2023-05-15 11:23:46,0,0,0,0,0,0,0,
2023-05-15 11:23:47,0,0,0,0,0,0,0,
2023-05-15 11:23:48,0,0,0,0,0,0,0,
2023-05-15 11:23:49,0,0,0,0,0,0,0,
2023-05-15 11:23:50,0,0,0,0,0,0,0,
2023-05-15 11:23:52,0,0,0,0,0,0,0,
2023-05-15 11:23:54,0,0,0,0,0,0,0,
2023-05-15 11:23:56,0,0,0,0,0,0,0,
2023-05-15 11:23:57,0,0,0,0,0,0,0,
2023-05-15 11:23:58,0,0,0,0,0,0,0,
2023-05-15 11:23:59,0,0,0,0,0,0,0,
2023-05-15 11:24:01,0,0,0,0,0,0,0,
2023-05-15 11:24:02,0,0,0,0,0,0,0,
2023-05-15 11:24:03,0,0,0,0,0,0,0,
