Time,LL Pressure,LL Between TP And Ev-1 Pressure,LL Between exhaust DP And EV Pressure,TR(C) Pressure,TR(C) No-Offset Pressure,TR(PH) Pressure,TR Between TP And EV-3 Pressure,UL Pressure,UL Between TP And EV-2 Pressure,SHI TSS Pressure,SHI Between TP And EV-4 Pressure,SHI Between DP And RV-4 Pressure,
2023-04-18 11:20:44,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:20:46,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:20:47,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:20:48,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:20:50,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:20:51,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:20:52,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:20:54,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:20:55,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:20:56,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:20:58,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:20:59,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:01,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:02,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:03,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:04,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:05,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:06,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:07,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:08,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:09,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:11,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:12,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:13,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:14,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:15,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:16,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:17,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:18,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:19,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:21,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:22,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:23,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:25,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:28,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:31,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:34,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:36,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:37,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:38,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:39,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:40,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:41,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:42,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:43,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:45,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:46,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:47,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:48,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:49,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:50,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:51,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:52,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:54,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:56,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:57,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:21:59,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:22:02,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:22:05,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:22:10,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:22:13,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:22:14,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:22:15,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:22:17,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:22:22,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:22:29,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:22:31,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:22:33,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:22:36,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:22:38,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:22:40,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:22:43,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:22:46,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:22:48,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:22:51,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:22:53,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:22:57,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:23:01,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:23:07,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:23:11,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:23:15,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:23:18,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:23:23,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:23:26,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:23:29,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:23:32,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:23:35,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:23:38,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:23:41,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:23:45,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:23:49,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:23:53,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-18 11:23:57,0,0,0,0,0,0,0,0,0,0,0,0,
