Time,LL Dry Pump PCW Flow,LL Turbo Pump PCW Flow,Backing Dry Pump PCW Flow,PCC Door Inwall PCW Flow,RPD G1 Electrode PCW Flow,RPD G2 Electrode PCW Flow,RPD Streering Coil PCW Flow,RPD Main Hearth PCW Flow,RPD Beam Guide PCW Flow,PCC Chamber Inwall PCW Flow,PCC Turbo Pump PCW Flow,TR1 Cooling Plate PCW Flow,TR2 Chamber PCW Flow,TR3 Chamber PCW Flow,UL Turbo Pump PCW Flow,UL Dry Pump PCW Flow,PCW Temperature,
2023-04-20 09:20:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:20:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:20:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:20:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:21:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:22:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:23:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:23:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:23:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:23:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:23:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:23:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:23:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:23:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:23:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:23:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:23:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:23:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:23:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:23:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:23:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:24:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:25:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-20 09:25:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
