Time,R-Gun Set Current of Hearth-Coil,R-Gun Current of Hearth-Coil,R-Gun Set Current of Streering-Coil,R-Gun Current of Streering-Coil,R-Gun Set Current of G2-Coil,R-Gun Current of G2-Coil,R-Gun Current of Main Hearth,R-Gun Current of Beam Guide,R-Gun Voltage of Main Hearth,R-Gun Voltage of Beam Guide,R-Gun Discharge Voltage,R-Gun MH Push Up Level,
2023-05-31 10:46:56,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:46:58,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:46:59,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:47:00,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:47:07,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:47:08,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:47:10,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:47:13,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:47:15,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:47:51,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:47:53,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:47:55,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:47:57,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:48:04,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:48:06,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:48:10,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:48:11,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:48:12,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:48:18,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:48:19,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:48:20,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:48:22,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:48:24,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:48:25,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:49:12,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:49:13,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:49:14,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:49:15,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:49:16,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:49:19,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:49:23,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:49:27,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:49:28,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:49:29,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:49:30,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:49:36,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:49:51,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:49:58,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:50:01,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:50:03,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:50:05,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:50:08,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:50:17,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:50:19,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:50:20,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:50:27,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:50:28,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:50:29,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:50:31,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-31 10:50:32,0,0,0,0,0,0,0,0,0,0,0,0,
