Time,LL Transfer Speed,TR1 Transfer Speed,TR2 Transfer Speed,TR3 Transfer Speed,UL Transfer Speed,TR2 Tray In Detect Sensor,TR2 Tray Out Detect Sensor,
2023-05-12 15:01:30,0,0,0,0,0,0,0,
2023-05-12 15:01:32,0,0,0,0,0,0,0,
2023-05-12 15:01:35,0,0,0,0,0,0,0,
2023-05-12 15:01:37,0,0,0,0,0,0,0,
2023-05-12 15:01:38,0,0,0,0,0,0,0,
2023-05-12 15:01:40,0,0,0,0,0,0,0,
2023-05-12 15:01:42,0,0,0,0,0,0,0,
2023-05-12 15:01:44,0,0,0,0,0,0,0,
2023-05-12 15:01:46,0,0,0,0,0,0,0,
2023-05-12 15:01:47,0,0,0,0,0,0,0,
2023-05-12 15:01:49,0,0,0,0,0,0,0,
2023-05-12 15:01:50,0,0,0,0,0,0,0,
2023-05-12 15:01:51,0,0,0,0,0,0,0,
2023-05-12 15:01:52,0,0,0,0,0,0,0,
2023-05-12 15:01:53,0,0,0,0,0,0,0,
2023-05-12 15:01:54,0,0,0,0,0,0,0,
2023-05-12 15:01:55,0,0,0,0,0,0,0,
2023-05-12 15:01:56,0,0,0,0,0,0,0,
2023-05-12 15:01:57,0,0,0,0,0,0,0,
2023-05-12 15:01:58,0,0,0,0,0,0,0,
2023-05-12 15:01:59,0,0,0,0,0,0,0,
2023-05-12 15:02:00,0,0,0,0,0,0,0,
2023-05-12 15:02:01,0,0,0,0,0,0,0,
2023-05-12 15:02:02,0,0,0,0,0,0,0,
2023-05-12 15:02:03,0,0,0,0,0,0,0,
2023-05-12 15:33:55,0,0,0,0,0,0,0,
2023-05-12 15:33:56,0,0,0,0,0,0,0,
2023-05-12 15:33:57,0,0,0,0,0,0,0,
2023-05-12 15:33:58,0,0,0,0,0,0,0,
2023-05-12 15:33:59,0,0,0,0,0,0,0,
2023-05-12 15:34:00,0,0,0,0,0,0,0,
2023-05-12 15:34:01,0,0,0,0,0,0,0,
2023-05-12 15:34:02,0,0,0,0,0,0,0,
2023-05-12 15:34:03,0,0,0,0,0,0,0,
2023-05-12 15:34:04,0,0,0,0,0,0,0,
2023-05-12 15:34:05,0,0,0,0,0,0,0,
2023-05-12 15:34:06,0,0,0,0,0,0,0,
2023-05-12 15:34:07,0,0,0,0,0,0,0,
2023-05-12 15:34:08,0,0,0,0,0,0,0,
2023-05-12 15:34:09,0,0,0,0,0,0,0,
2023-05-12 15:34:10,0,0,0,0,0,0,0,
2023-05-12 15:34:11,0,0,0,0,0,0,0,
2023-05-12 15:34:12,0,0,0,0,0,0,0,
2023-05-12 15:34:13,0,0,0,0,0,0,0,
2023-05-12 15:34:14,0,0,0,0,0,0,0,
2023-05-12 15:34:15,0,0,0,0,0,0,0,
2023-05-12 15:34:16,0,0,0,0,0,0,0,
2023-05-12 15:34:17,0,0,0,0,0,0,0,
2023-05-12 15:34:18,0,0,0,0,0,0,0,
2023-05-12 15:34:19,0,0,0,0,0,0,0,
2023-05-12 15:34:20,0,0,0,0,0,0,0,
2023-05-12 15:34:21,0,0,0,0,0,0,0,
2023-05-12 15:34:22,0,0,0,0,0,0,0,
2023-05-12 15:34:23,0,0,0,0,0,0,0,
2023-05-12 15:34:24,0,0,0,0,0,0,0,
2023-05-12 15:34:25,0,0,0,0,0,0,0,
2023-05-12 15:34:26,0,0,0,0,0,0,0,
2023-05-12 15:34:27,0,0,0,0,0,0,0,
2023-05-12 15:34:28,0,0,0,0,0,0,0,
2023-05-12 15:34:29,0,0,0,0,0,0,0,
2023-05-12 15:34:30,0,0,0,0,0,0,0,
2023-05-12 15:34:31,0,0,0,0,0,0,0,
2023-05-12 15:34:32,0,0,0,0,0,0,0,
2023-05-12 15:34:33,0,0,0,0,0,0,0,
2023-05-12 15:55:22,0,0,0,0,0,0,0,
2023-05-12 15:55:23,0,0,0,0,0,0,0,
2023-05-12 15:55:25,0,0,0,0,0,0,0,
2023-05-12 15:55:27,0,0,0,0,0,0,0,
2023-05-12 15:55:29,0,0,0,0,0,0,0,
2023-05-12 15:55:31,0,0,0,0,0,0,0,
2023-05-12 15:55:33,0,0,0,0,0,0,0,
2023-05-12 15:55:35,0,0,0,0,0,0,0,
2023-05-12 15:55:37,0,0,0,0,0,0,0,
2023-05-12 15:55:39,0,0,0,0,0,0,0,
2023-05-12 15:55:40,0,0,0,0,0,0,0,
