Time,LL Transfer Speed,TR1 Transfer Speed,TR2 Transfer Speed,TR3 Transfer Speed,UL Transfer Speed,TR2 Tray In Detect Sensor,TR2 Tray Out Detect Sensor,
2023-06-09 11:00:21,0,0,0,0,0,0,0,
2023-06-09 11:00:22,0,0,0,0,0,0,0,
2023-06-09 11:00:23,0,0,0,0,0,0,0,
2023-06-09 11:00:27,0,0,0,0,0,0,0,
2023-06-09 11:00:29,0,0,0,0,0,0,0,
2023-06-09 11:00:30,0,0,0,0,0,0,0,
2023-06-09 11:00:31,0,0,0,0,0,0,0,
2023-06-09 11:00:35,0,0,0,0,0,0,0,
2023-06-09 11:00:42,0,0,0,0,0,0,0,
2023-06-09 11:00:43,0,0,0,0,0,0,0,
2023-06-09 11:00:45,0,0,0,0,0,0,0,
2023-06-09 11:00:47,0,0,0,0,0,0,0,
2023-06-09 11:00:48,0,0,0,0,0,0,0,
2023-06-09 11:00:50,0,0,0,0,0,0,0,
2023-06-09 11:00:53,0,0,0,0,0,0,0,
2023-06-09 11:00:54,0,0,0,0,0,0,0,
2023-06-09 11:00:55,0,0,0,0,0,0,0,
2023-06-09 11:00:59,0,0,0,0,0,0,0,
2023-06-09 11:01:01,0,0,0,0,0,0,0,
2023-06-09 11:01:03,0,0,0,0,0,0,0,
2023-06-09 11:01:04,0,0,0,0,0,0,0,
2023-06-09 11:01:05,0,0,0,0,0,0,0,
2023-06-09 11:01:06,0,0,0,0,0,0,0,
2023-06-09 11:01:08,0,0,0,0,0,0,0,
2023-06-09 11:01:09,0,0,0,0,0,0,0,
2023-06-09 11:01:12,0,0,0,0,0,0,0,
2023-06-09 11:01:15,0,0,0,0,0,0,0,
2023-06-09 11:01:17,0,0,0,0,0,0,0,
2023-06-09 11:01:26,0,0,0,0,0,0,0,
2023-06-09 11:01:27,0,0,0,0,0,0,0,
2023-06-09 11:01:28,0,0,0,0,0,0,0,
2023-06-09 11:01:30,0,0,0,0,0,0,0,
2023-06-09 11:01:31,0,0,0,0,0,0,0,
2023-06-09 11:01:34,0,0,0,0,0,0,0,
2023-06-09 11:01:37,0,0,0,0,0,0,0,
2023-06-09 11:01:40,0,0,0,0,0,0,0,
2023-06-09 11:01:41,0,0,0,0,0,0,0,
